direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,equity_at_entry,notional_usd,pnl_pct_net,pnl_usd,equity_after_exit,was_capped
long,-0.007701149425287448,8,PEPEUSDT,1693399500,1693406700,8.7e-07,8.633e-07,trail_stop,64827.21000488344,48620.40750366258,-0.008901149425287448,-432.7775123084677,64394.432492574975,False
short,0.04199835526315778,150,XLMUSDT,1693405800,1693540800,0.1216,0.11649300000000001,trail_stop,64827.21000488344,48620.40750366258,0.04079835526315778,1983.6326583739283,64337.98617045494,False
short,0.0,192,AVAXUSDT,1693406700,1693579500,10.41,10.41,timeout,64394.432492574975,48295.824369431226,-0.0012,-57.95498924331746,64280.03118121162,False
short,-0.0035152085293195874,182,FILUSDT,1693501200,1693665000,3.189,3.20021,trail_stop,60782.94289915642,45587.207174367315,-0.0047152085293195875,-214.95318809643587,66142.39462258694,False
short,0.021499999999999894,66,PEPEUSDT,1693528200,1693587600,8e-07,7.828e-07,trail_stop,62354.35351208101,46765.765134060755,0.020299999999999895,949.3450322214284,65229.376213433046,False
short,0.024105058365758696,58,HBARUSDT,1693545300,1693597500,0.0514,0.050161000000000004,trail_stop,64337.98617045494,48253.4896278412,0.022905058365758697,1105.2489962772345,66334.62520971028,False
short,0.002790262172284628,132,DOTUSDT,1693548000,1693666800,4.272,4.26008,trail_stop,64337.98617045494,48253.4896278412,0.001590262172284628,76.73569923588451,66219.13032182283,False
short,0.0013338533541341693,30,ARBUSDT,1693587600,1693614600,0.8974,0.896203,trail_stop,65229.376213433046,48922.032160074785,0.00013385335413416944,6.548378095685717,66357.34781068338,False
short,0.0015306122448979164,13,CRVUSDT,1693587600,1693599300,0.441,0.440325,trail_stop,65229.376213433046,48922.032160074785,0.0003306122448979165,16.17422287741039,66350.7994325877,False
long,-0.004538526672311627,55,HIGHUSDT,1693629000,1693678500,1.181,1.17564,trail_stop,66357.34781068338,49768.01085801253,-0.005738526672311626,-285.59505773659953,66965.43488852278,False
long,0.028241900647948112,25,FETUSDT,1693649700,1693672200,0.2315,0.238038,trail_stop,66357.34781068338,49768.01085801253,0.027041900647948112,1345.8216050683777,67564.95192689121,False
long,-0.005128205128205242,12,PEPEUSDT,1693665900,1693676700,7.8e-07,7.76e-07,trail_stop,66142.39462258694,49606.795966940204,-0.0063282051282052415,-313.92198063182207,67251.02994625938,False
short,0.0,192,HBARUSDT,1693678500,1693851300,0.0486,0.0486,timeout,66965.43488852278,50224.076166392086,-0.0012,-60.2688913996705,74647.4617696642,False
